,股票代码,公司名称,营业收入,净利润,净资产收益率(%)
242,600571,信雅达,13.85亿,1.23亿,11.09
243,600379,宝光股份,6.96亿,3614万,7.98
244,603486,科沃斯,32.77亿,5101万,7.54
245,300746,汉嘉设计,5.02亿,4768万,9.27
246,002921,联诚精密,5.12亿,4746万,11.76
247,300651,金陵体育,3.30亿,4631万,13.84
248,300405,科隆股份,7.77亿,1573万,2.34
249,002640,跨境通,85.37亿,3.94亿,13.55
250,002672,东江环保,26.17亿,5.34亿,17.65
251,600751,海航科技,376亿,3.22亿,2.61
252,600168,武汉控股,11.98亿,3.01亿,6.76
253,600538,国发股份,4.55亿,-3186万,-4.78
254,002848,高斯贝尔,11.01亿,6398万,10.92
255,601198,东兴证券,35.73亿,13.53亿,9.15
256,002491,通鼎互联,41.43亿,5.39亿,19.00
257,300454,深信服,17.50亿,2.58亿,13.21
258,603169,兰石重装,17.36亿,1642万,0.54
259,600680,*ST上普,6.88亿,-4.73亿,-49.70
260,600175,美都能源,44.21亿,1.49亿,1.94
261,600523,贵航股份,33.61亿,1.73亿,8.53
262,300745,欣锐科技,5.85亿,1.26亿,39.17
263,300218,安利股份,14.05亿,5838万,5.92
264,601799,星宇股份,33.47亿,3.50亿,13.14
265,601888,中国国旅,224亿,18.08亿,15.26
266,002506,协鑫集成,120亿,-2691万,-0.75
267,300135,宝利国际,13.80亿,2724万,2.33
268,002591,恒大高新,1.48亿,1412万,2.00
269,002639,雪人股份,8.11亿,3305万,1.53
270,601700,风范股份,25.14亿,2.08亿,7.11
271,300169,天晟新材,8.22亿,921万,0.76
272,002564,天沃科技,11.95亿,-3.00亿,-10.15
273,601258,庞大集团,660亿,3.82亿,3.03
274,002291,星期六,14.84亿,2084万,1.14
275,002446,盛路通信,11.56亿,1.61亿,6.80
276,002647,民盛金科,26.43亿,1.10亿,10.48
277,002201,九鼎新材,7.94亿,479万,0.54
278,601139,深圳燃气,85.09亿,7.72亿,10.42
279,002180,纳思达,58.05亿,6108万,3.31
280,002124,天邦股份,23.70亿,3.73亿,30.04
281,002156,通富微电,45.92亿,1.81亿,4.74
282,002132,恒星科技,20.64亿,1.06亿,5.19
283,002170,芭田股份,20.12亿,8954万,4.42
284,601118,海南橡胶,88.77亿,6131万,0.76
285,601058,赛轮金宇,111亿,3.62亿,8.31
286,300049,福瑞股份,8.27亿,1.21亿,8.65
287,601006,大秦铁路,446亿,71.68亿,7.75
288,601666,平煤股份,154亿,8.40亿,8.20
289,002069,獐子岛,30.52亿,7959万,8.47
290,002061,浙江交科,148亿,4.69亿,14.09
291,002600,领益智造,121亿,2.34亿,5.45
292,300269,联建光电,27.75亿,2.59亿,6.09
293,000679,大连友谊,19.27亿,1.34亿,10.08
294,000673,当代东方,9.86亿,1.77亿,8.05
295,000511,烯碳退,14.16亿,-4.74亿,-43.45
296,000504,南华生物,6725万,2176万,386.68
297,000501,鄂武商A,177亿,9.92亿,18.52
298,000669,金鸿控股,24.71亿,1.91亿,4.92
299,000639,西王食品,33.75亿,1.24亿,6.78
300,000627,天茂集团,170亿,17.79亿,15.02
301,000626,远大控股,758亿,3.91亿,19.02
302,000599,青岛双星,49.28亿,9534万,3.67
303,000597,东北制药,48.14亿,2379万,1.03
304,000596,古井贡酒,60.17亿,8.30亿,15.88
305,000595,宝塔实业,3.56亿,-8443万,-11.99
306,000593,大通燃气,4.74亿,-5508万,-6.36
307,600854,春兰股份,1.86亿,1209万,0.63
308,600850,华东电脑,60.57亿,2.75亿,15.78
309,000729,燕京啤酒,116亿,3.12亿,2.45
