,code,name,income_2015,profit_2015,roe_2015(%),income_2016,profit_2016,roe_2016(%),income_2017,profit_2017,roe_2017(%)
192,300692,中环环保,1.48亿,3282万,11.05,1.78亿,4619万,10.9,2.33亿,5069万,9.41
193,002892,科力尔,4.54亿,5969万,34.25,5.04亿,6751万,31.34,5.92亿,6545万,18.24
194,603557,起步股份,11.28亿,1.51亿,25.15,12.34亿,1.76亿,19.97,13.39亿,1.94亿,17.55
195,603181,皇马科技,13.80亿,6470万,12.03,15.01亿,9013万,15.13,16.83亿,1.48亿,16.58
196,603976,正川股份,4.80亿,6070万,13.48,4.70亿,7051万,14.57,5.09亿,8218万,12.17
197,002891,中宠股份,6.48亿,5569万,24.66,7.91亿,6728万,23.42,10.15亿,7367万,16.37
198,603129,春风动力,12.00亿,5928万,55.84,14.01亿,8827万,25.42,18.18亿,9741万,16.92
199,300693,盛弘股份,3.06亿,4301万,32.95,4.47亿,6386万,29.5,4.51亿,4601万,12.61
200,601949,中国出版,41.00亿,6.57亿,18.62,41.57亿,5.81亿,14.39,46.97亿,5.31亿,10.98
201,603359,东珠景观,8.79亿,1.51亿,17.54,9.80亿,1.85亿,16.42,12.24亿,2.43亿,15.4
202,600637,东方明珠,185亿,29.07亿,14.49,194亿,29.34亿,11.42,163亿,22.37亿,8.28
203,300689,澄天伟业,2.50亿,2753万,13.24,2.64亿,4258万,17.52,2.95亿,5290万,13.79
204,300688,创业黑马,1.67亿,533万,11.88,1.84亿,4054万,26.18,1.85亿,4717万,18.84
205,300690,双一科技,4.80亿,1.02亿,36.56,4.80亿,1.08亿,30.97,5.95亿,1.11亿,19.45
206,300691,联合光电,6.10亿,4452万,18.3,7.33亿,7510万,21.38,9.34亿,8199万,15.49
207,603602,纵横通信,4.18亿,4853万,17.94,5.11亿,5371万,18.32,5.88亿,5995万,13.75
208,603721,中广天择,2.89亿,3809万,13.92,4.53亿,4005万,12.8,3.92亿,6375万,15.45
209,603978,深圳新星,7.01亿,8225万,16.83,7.94亿,1.33亿,22.27,10.09亿,1.05亿,11.63
210,603619,中曼石油,16.32亿,1.89亿,23.87,15.95亿,3.94亿,36.44,17.72亿,3.95亿,22.46
211,300687,赛意信息,4.08亿,4310万,36.18,6.12亿,8200万,36.47,7.09亿,1.01亿,22.62
212,603458,勘设股份,15.31亿,1.07亿,16.56,15.86亿,1.61亿,21.43,19.27亿,3.29亿,26.52
213,002890,弘宇股份,3.47亿,6000万,24.45,2.82亿,3777万,13.36,2.83亿,4010万,10.45
214,300685,艾德生物,1.77亿,2109万,10.55,2.53亿,6703万,24.43,3.30亿,9407万,20.54
215,300683,海特生物,6.79亿,8335万,14.91,7.71亿,1.57亿,23.62,7.50亿,1.42亿,13.77
216,603535,嘉诚国际,7.18亿,7216万,12.31,8.59亿,1.04亿,15.31,10.34亿,1.19亿,12.27
217,603860,中公高科,1.53亿,4710万,19.66,1.72亿,5393万,19.54,1.92亿,4690万,11.56
218,603880,南卫股份,4.33亿,5124万,21.8,4.44亿,5198万,21.06,4.89亿,4760万,13.14
219,300686,智动力,5.51亿,4763万,18.47,6.62亿,5891万,18.28,5.68亿,4202万,9.67
220,002668,奥马电器,47.02亿,2.67亿,16.46,50.41亿,3.05亿,16.17,69.64亿,3.81亿,11.66
221,300676,华大基因,13.19亿,2.62亿,9.2,17.11亿,3.33亿,10.38,20.96亿,3.98亿,10.75
222,603825,华扬联众,51.81亿,7792万,15.41,66.39亿,1.03亿,15.45,82.16亿,1.27亿,13.98
223,300682,朗新科技,6.18亿,7171万,9.35,7.50亿,1.22亿,15.4,7.83亿,1.39亿,14.7
224,300681,英搏尔,4.26亿,9228万,90.96,4.08亿,6538万,27.91,5.36亿,8430万,27.17
225,603357,设计总院,8.51亿,1.40亿,24.1,9.67亿,1.96亿,28.26,13.74亿,2.89亿,23.59
226,300679,电连技术,9.09亿,2.26亿,37.34,13.92亿,3.59亿,41.63,14.23亿,3.61亿,18.98
227,603233,大参林,52.65亿,3.95亿,51.71,62.74亿,4.30亿,37.96,74.21亿,4.75亿,24.28
228,603676,卫信康,4.40亿,1.13亿,32.93,4.26亿,1.15亿,25.01,4.20亿,1.02亿,16.02
229,603063,禾望电气,9.52亿,3.32亿,33.42,8.08亿,2.62亿,20.41,8.78亿,2.33亿,12.74
230,002889,东方嘉盛,44.05亿,8183万,12.13,68.87亿,9057万,12.49,101亿,1.18亿,11.85
231,300678,中科信息,2.69亿,4058万,14.19,2.44亿,3876万,12.2,2.91亿,4254万,10.24
232,300677,英科医疗,9.98亿,6422万,23.18,11.83亿,8605万,17.51,17.50亿,1.45亿,18.88
233,002888,惠威科技,2.45亿,3341万,16.52,2.43亿,3704万,15.67,2.64亿,3361万,10.28
234,603707,健友股份,4.69亿,8755万,8.24,5.82亿,2.57亿,21.37,11.13亿,3.14亿,19.07
